Mục lớn,Mục con,Loại tài liệu (Nhật),Loại tài liệu (Việt),Các bước,Chú thích
6,11,"活動機関が国家戦略特別区域高度人材外国人受入促進事業の対象として支援を受けている企業",Công ty nằm trong phạm vi được hỗ trợ tuyển dụng nhân lực chất lượng cao nước ngoài,,Công ty mình chắc cũng không thuộc loại này nên bỏ
6,12,"活動機関が中小企業基本法に規定する中小企業者で，在留資格認定証明書交付申請等の申請日の属する年の前年１年間（申請日が１月から３月の場合は前々年）における試験研究費及び開発費の合計金額が，事業所得にかかる総収入金額の３％を超える","Công ty có 3% số vốn sử dụng cho hoạt động nghiên cứu",,Công ty mình chắc cũng không thuộc loại này nên bỏ
6,13,"従事しようとする業務に関連する外国の資格，表彰等で法務大臣が認めるものを保有","Sở hữu các bằng cấp liên quan đến nghiệp vụ ở nước ngoài được bộ trưởng công nhận",,Mình không có cái này nên bỏ
6,14,"日本の大学を卒業又は大学院の課程を修了","Tốt nghiệp đại học ở Nhật hoặc thạc sỹ",,Mình không có cái này nên bỏ
6,15.1,"日本語専攻で外国の大学を卒業又は日本語能力試験Ｎ１合格相当","Tốt nghiệp đại học chuyên ngành ngoại ngữ ở nước ngoài, hoặc là có chứng chỉ tương đương JLPT N1",,Mình đã nộp bằng N1
6,15.2,"日本語能力試験Ｎ２合格相当",Năng lực tiếng nhật tương đương N2,,Mình nộp N1 nên cái này thôi
6,16,"各省が関与する成長分野の先端プロジェクトに従事","Tham gia vào các dự án phát triển tiên tiến của các bộ",,Mình không có cái này nên bỏ
6,17,"以下のいずれかの大学を卒業<br>１大学格付３機関（クアクアレリ・シモンズ社（英国），タイムズ社（英国），上海交通大学（中国））の大学ランキングのうち２つ以上において３００位以内の外国の大学又はいずれかにランクづけされている本邦の大学<br>２文部科学省が実施するスーパーグローバル大学創成支援事業（トップ型及びグローバル化牽引型）において，補助金の交付を受けている大学<br>３外務省が実施するイノベーティブ・アジア事業において，「パートナー校」として指定を受けている大学","Tốt nghiệp các trường đại học thuộc 1 trong 3 nhóm sau: <br>1.Tốt nghiệp các trường đại học nằm trong top 300 trong bảng 2 trong 3 bảng rank của Quacquarelli Symonds, Times, Thượng hải.<br>2.Các trường đại học theo chương trình super global được hỗ trợ bởi bộ văn hoá Nhật bản<br>3.Các trường đại học nằm trong chương trình thúc đẩy hợp tác với châu Á, trong diện các trường đối tác",,"Mình tốt nghiệp BKHN ở VN nằm trong phần 3 nên nộp chung bằng tốt nghiệp ở 6.1. luôn. Ngoài ra mình có copy bản giấy về chứng minh trường BKHN mình có nằm trong diện này để cục dễ đối chiếu"
6,18,"外務省が実施するイノベーティブ・アジア事業の一環としてＪＩＣＡが実施する研修を修了","Kết thúc nghiên cứu theo chương trình thúc đẩy hợp tác với châu Á của JICA",,Mình không có cái này nên bỏ
6,19,"本邦において貿易その他の事業の経営を行う場合であって，当該事業に自ら一億円以上を投資","Bản thân có đầu tư hơn 100 triệu yên vào các hoạt động thương mại hoặc khác ở Việt Nam",,Mình không có cái này nên bỏ
6,20,"活動機関の代表取締役・取締役，代表執行役・執行役又は業務を執行する社員（代表権を有する場合はその旨）であることを証する文書","Chứng minh bản thân nằm trong ban quản trị của công ty",,Mình không có cái này nên bỏ
